???,???
1,1
2,2
3,3
AGT,A
AH,HORT
AN,???
AYO,HORT
BA,MV
BAB,BABBLE
BE,ANTIP
BER,ANTIP
BO,PTCL
COMP,COMP
CONTR,CONTR
DAH,PFV
DEH,PRAG
DENG,PTCL
DI,PV
DIH,IMP
DING,PTCL
DONG,INSIST
E,POSS
ECXL,EXCLA
EH,PTCL
EPIT,NICKNAMER
ETA,HORT
EX,EXCLA
EXCL,EXCLA
F.Se,NAME
FILL,FILLER
FUT,FUT
GIH,IMP
HAYO,HORT
HAYOH,HORT
HAYU,HORT
I,TR
IMIT,IMIT
IN,VOICE
JUGA,PRAG
KAH,Q
KAN,VOICE/Q
KE,PASS
KE.AN,NMLZ
KEK,INDF
KOK,FOC
LAGI,FOC
LAH,PRAG
LOC,LOC
MA,AV
MAH,PRAG
MARI,HORT
MEN,AV
N,AV
NAH,PTCL
NE,POSS
NEG,NEG
NEOL,???
NO,APPL.IMP
NW,???
NYA,POSS
NYE,POSS
O,IMP
OATH,INTJ
ORD,ORD
PA-RED,???
PAN,EMPH
PARTRED,???
PE,NMLZ
PE.AN,NMLZ
PEN,NMLZ
PENG.AN,NMLZ
PER,NMLZ
PER.AN,NMLZ
PERS,DET
PFCT,PRF
PL,PL
POSS,POSS
PUN,EMPH
RED.AN,EQU
REL,REL
SE,???
SE.NYA,ADVZ
SE.RED.NYA,SUPERL
SG,SG
SIH,PRAG
SOK,PRAG
TA,PASS
TAH,Q
TE,PASS
TEH,FOC
TER,PASS
TO,EMPH
TOH,EMPH
TOP,TOP
TRU,???
WAN,M.NAG
WATI,F.NAG
1SG,1SG
1PL,1PL
3PL,3PL
1PLEX,1PL.EXCL
2PL,2PL
2SG,2SG
3SG,3SG
