AADJR:LI,lı
ADJR:AN,An
ADJR:CI,cI
ADJR:EN,An
ADJR:ER,Ar
ADJR:İCEK,IcAk
ADJR:ICI,IcI
ADJR:KI,kI
ADJR:Kİ,kI
ADJR:KÜN,kIn
ADJR:LI,lI
ADJR:Lİ,lI
ADJR:LI_N/Kar,lI
ADJR:LIK,lIk
ADJR:LU,lI
ADJR:LÜ,lI
ADJR:LU.,lI
ADJR:LUK,lIk
ADJR:SIZ,sIz
ADJR:SİZ,sIz
ADJR:ÜK,Ik
ADVR:ÇA,çA
ADVR:CE,cA
ADVR:DAN,dAn
ADVR:DEN,dAn
ADVR:DÜR,dIr
ADVR:SIZ,sIz
ADVR:TA,tA
ADVR:TE,tA
ADVR:ÜNCE,IncA
ATR:LIK,lIk
GEN:DAN,dAn
GEN:ISE,IsA
GEN:UP,Ip
GER:ACAK,AcAk
GER:ADUR,AdIr
GER:ALI&1P,
GER:AN,An
GER:ARAK,ArAk
GER:CE,cA
GER:DEN,dAn
GER:DIĞ,DIK
GER:DİĞ,DIK
GER:DİĞİ,diği
GER:DIĞIN,dIğIn
GER:DIK,dIk
GER:DİK,dIk
GER:DUĞ,DIK
GER:ELI,AlI
GER:ELİ,AlI
GER:EN,An
GER:ENE,AnA
GER:EREK,ArAk
GER:IĞINDA,ığında
GER:IKEN,Iken
GER:İKEN,IkAn
GER:IN,In
GER:INCA,IncA
GER:INCE,IncA
GER:İNCE,IncA
GER:INDE,IndA
GER:INE,InA
GER:IP,Ip
GER:İP,Ip
GER:IRIP,IrIp
GER:IŞ,Iş
GER:İŞ,Iş
GER:ISE,IsA
GER:IVER,IvAr
GER:KEN,ken
GER:MA,mA
GER:MADAN,mAdAn
GER:MAK,mAk
GER:ME,mA
GER:MEDEN,mAdAn
GER:MEK,mAk
GER:MI,mI
GER:NEG,mA
GER:RAK,rAk
GER:RKEN.,rkAn
GER:TIĞI,tığı
GER:TIK,dIk
GER:TUK,dIk
GER:UK,Ik
GER:UNCA,IncA
GER:ÜYÜNCE,IyIncA
GER:YA,yA
GER:YAN,yan
GER:YARAK,ArAk
GER:YE,yA
GER:YELİ,AlI
GER:YEN,An
GER:YEP,Ip
GER:YEREK,ArAk
GER:YINCA,IncA
GER:YIP,Ip
GER:ÝNCE,IncA
GER:ÝP,Ip
GER:YÝP,Ip
GR:MA,mA
NEG,mA
NR:ACAK,AcAk
NR:AN,An
NR:CI,cI
NR:Cİ,cI
NR:ÇI,çI
NR:CÜ,cü
NR:DIK,dIk
NR:DİK,dIk
NR:DÝK,dIk
NR:EN,An
NR:IK,Ik
NR:IM,Im
NR:İM,Im
NR:IP,Ip
NR:IŞ,Iş
NR:KI,kI
NR:LA,lA
NR:LI,lI
NR:Lİ,lI
NR:LIK,lIk
NR:LİK,lIk
NR:LIK_N/biber,
NR:LIK.,lIk
NR:LU,lI
NR:LÜ,lI
NR:LÜK,lIk
NR:MA,mA
NR:MACA,mAcA
NR:MADAN,mAdAn
NR:MAK,mAk
NR:ME,mA
NR:MEK,mAk
NR:MIŞ,mIş
NR:SI,sI
NR:TI,tI
NR:UŞ,Iş
NR:ÜŞ,Iş
REL:AN,An
REL:DIK,dIk
REL:ECEK,AcAk
REL:EN,An
REL:ILI,IlI
REL:MA,mA
REL:ME,mA
REL:YAN,An
RELR:DIK,dIk
RELR:Kİ,ki
RELR:YACAK,acak
VR:AL,Al
VR:ALT,Alt
VR:AR,ar
VR:EL,Al
VR:ELT,Alt
VR:LA,LA
VR:LAN,lAn
VR:LAS,lAs
VR:LAŞ,lAş
VR:LE,lA
VR:LEN,lAn
VR:LEN.,lAn
VR:LEŞ,lAş
VR:leş,leş
VR:LI,lI
VR:LU,lI
VR:R,r
VR:UVER,IvAr
